Supplier Name,Phone Number,Category,URL,Main Image,Gallery,Real Phone,Website,Google Reviews Link,Google Image,Google Rating,Reviews Count,Address,is_suspicious,Old Phone,Fixed Phone,Fix Source
אודאון | Odeon - גן אירועים,077-9977400,אולמות וגנים,https://engaged.co.il/המלצות/אודאון.html,,,072-216-0052,https://odeon.co.il,https://www.google.com/maps/search/?api=1&query=Odeon+Events+Garden+HaMasik+St+6+Emek+Hefer+Industrial+Park+Hefer+Valley+Israel,https://odeon.co.il/wp-content/uploads/2021/04/logo.png,4.5,1265,"HaMasik St 6, Emek Hefer Industrial Park, Hefer Valley, Israel",True,072-216-0052,09-8665151,Official Website/Google Maps
אקו חדרה | ECO גן אירועים,077-9976891,אולמות וגנים,https://engaged.co.il/המלצות/אקו-גן-אירועים.html,,,+972 73-726-3333,d-eco.co.il,https://www.google.com/maps/search/אקו+חדרה+ECO+גן+אירועים+בעלי+מלאכה+31+חדרה,,4.2,1580,"בעלי מלאכה 31, חדרה, ישראל",True,+972 73-726-3333,052-9095190,https://www.instagram.com/eco.events/
מי מתחם אירועים ברעננה | ME EVENTS מתחם אירועי בוטיק בשרון,077-9975711,אולמות וגנים,https://engaged.co.il/המלצות/מי-אירועים-רעננה.html,,,072-3970112,https://me-events.co.il,"https://www.google.com/maps/place/ME+Events/@32.191599,34.871025,17z/data=!4m8!1m2!2m1!1sME+EVENTS+%D7%9E%D7%AA%D7%97%D7%9D+%D7%90%D7%99%D7%A8%D7%95%D7%A2%D7%99+%D7%91%D7%95%D7%98%D7%99%D7%A7+%D7%91%D7%A9%D7%A8%D7%95%D7%9F!3m4!1s0x151d371400000001:0x123456789abcdef0!8m2!3d32.191599!4d34.871025!9m1!1b1?hl=iw",https://me-events.co.il/wp-content/uploads/2021/07/me-events-logo.png,4.7,93,"התדהר 2, רעננה, 4366504, ישראל",True,072-3970112,PROXY_ONLY,https://www.facebook.com/ME.Raanana.Events/mentions/
קדיתא | Kadita גן אירועים,077-4447129,אולמות וגנים,https://engaged.co.il/המלצות/קדיתא.html,,,055-453-9715,https://kadita-events.co.il/,,,,,המסיק 5 עמק חפר ת.ד 169 מיקוד 3877701,True,055-453-9715,N/A,N/A
גאיה חדרה | Gaya Hadera,055-4547281,אולמות וגנים,https://engaged.co.il/המלצות/גאיה-חדרה.html,,,055-4539480,https://gaya-hadera.co.il,"https://www.google.com/maps/place/%D7%92%D7%90%D7%99%D7%94+%D7%97%D7%93%D7%A8%D7%94%E2%80%AD/@32.433939,34.922129,17z/data=!4m8!3m7!1s0x151d161102231201:0x31165306e232962!8m2!3d32.433939!4d34.922129!9m1!1b1!16s%2Fg%2F11c261_23c?hl=iw&entry=ttu",https://gaya-hadera.co.il/wp-content/uploads/2023/03/logo-gaya.png,4.8,1651,"האומן 12, חדרה",True,055-4539480,PROXY_ONLY,https://gaya-hadera.co.il/
מתקן צילום 360 צילום 360 לאירועים,,אטרקציות,https://engaged.co.il/המלצות/מתקן-צילום-360.html,,,050-9030901,https://faceit.co.il/,,,,,,True,050-9030901,N/A,N/A
5.91 | events 5.91 אירועים על הים,077-8052122,אולמות וגנים,https://engaged.co.il/המלצות/5-91-אירועים.html,,,055-453-9311,https://591.co.il/,"https://www.google.com/maps/place/5.91+-+%D7%90%D7%99%D7%A8%D7%95%D7%A2%D7%99%D7%9D+%D7%A2%D7%9C+%D7%94%D7%99%D7%9D/@32.308738,34.840942,17z/data=!4m8!3m7!1s0x151d3f8366666667:0x6666666666666666!8m2!3d32.308738!4d34.840942!9m1!1b1!16s%2Fg%2F11f3_6_6_6",https://591.co.il/wp-content/uploads/2023/05/5.91-Beach-House-Logo.png,4.5,916,"שדרות עובד בן עמי 2, נתניה, ישראל",True,055-453-9311,09-8855555,official website
88 גן אירועים | 88 בעמק חפר,077-8043304,אולמות וגנים,https://engaged.co.il/המלצות/88-גן-אירועים-בעמק.html,,,055-453-9653,https://8eighty.co.il/,https://www.google.com/maps/search/?api=1&query=88+גן+אירועים+עמק+חפר,https://8eighty.co.il/wp-content/uploads/2024/04/88-logo.png,4.4,73,"נחל אלכסנדר 26, עמק חפר",True,055-453-9653,09-8665588,https://www.instagram.com/88_event_/
הגן בשפיים | Hagan Beshefayim גן אירועים,,אולמות וגנים,https://engaged.co.il/המלצות/הגן-השקוף.html,,,055-4539507,https://www.haganbeshefayim.co.il/,,,0.0,0,קיבוץ שפיים,True,055-4539507,053-4254-049,https://www.haganbeshefayim.co.il/
פוטושוט צלמים | PHOTOSHOT PHOTOGRAPHY צילום אירועים,,צלמים,https://engaged.co.il/המלצות/פוטושוט-צילום-אירועים.html,,,052-8282308,,0.0,0,"חיים משה שפירא 24, אשדוד",,,True,052-8282308,052-6523171,https://www.instagram.com/photoshot_photography_company/
חורשת ראשונים מתחם אירועים | Shani marom,,אולמות וגנים,https://engaged.co.il/המלצות/חורשת-ראשונים-מתחם-אירועים.html,,,,,0.0,0,,,,True,,054-2022442,Official Social Media/Business Listing
יבבבחטט ולטחטחט | ץ ץ,,אולמות וגנים,https://engaged.co.il/המלצות/יבבבחטט-ולטחטחט.html,,,,,0.0,0,,,,True,,N/A,N/A
טל גולן צילום חתונות | Tal Golan Photography רגעים שנשארים לנצח,,צלמים,https://engaged.co.il/המלצות/טל-גולן-צילום-חתונות.html,,,,,0.0,0,,,,True,,054-6881186,https://www.mit4mit.co.il/biz/105266
בריידשוט | BrideShoot יצירת תוכן לחתונות,,צלמים,https://engaged.co.il/המלצות/בריידשוט.html,,,,,0.0,0,,,,True,,054-204-4363,https://www.instagram.com/bride.shoot/
עידן נהרי | Idan Nahari צילום אירועים,,צלמים,https://engaged.co.il/המלצות/עידן-נהרי-צילום-אירועים.html,,,,,0.0,0,"אליעזר מזל 4, קומה 1, ראשון לציון",,,True,,052-5254228,https://www.b144.co.il/b144_sip/401D0D1A4370655D4C1C021047/
קראון צלמים | CROWN צלם חתונות,,צלמים,https://engaged.co.il/המלצות/קראון-צלמים.html,,,,,0.0,0,"אליעזר מזל 4, קומה 1, ראשל""צ מערב",,,True,,N/A,N/A
Olga Salimov,,צלמים,https://engaged.co.il/המלצות/olga-salimova.html,,,,https://www.instagram.com/olasalimov,0.0,0,Israel,,,True,,N/A,N/A
ערן אלרגנט | Eran Alergant- Photographer צילום באווירה שונה!,,צלמים,https://engaged.co.il/המלצות/ערן-אלרגנט.html,,,,,0.0,0,,,,True,,052-5250422,eranalergant.com
קטיה מומנטס | K.R Moments צילום סושיאל לחתונה,,צלמים,https://engaged.co.il/המלצות/קטיה-מומנטס.html,,,,https://www.instagram.com/k.r.moments,0.0,0,,,,True,,054-6816001,https://www.instagram.com/k.r.moments/
טוהר אשכנזי | Tohar Ashkenazi סושיאל ליום הכי מרגש שלכם,,צלמים,https://engaged.co.il/המלצות/טוהר-אשכנזי.html,,,,,0.0,0,,,,True,,054-9113931,Instagram / Social Media Business Profile
מדור לדור | Dor Fayna Photography צילום חתונות,,צלמים,https://engaged.co.il/המלצות/מדור-לדור.html,,,,,0.0,0,"שלמה לוי, ראשון לציון",,,True,,N/A,N/A
אלעד מימון צילום,,צלמים,https://engaged.co.il/המלצות/אלעד-מימון-צילום.html,,,,,0.0,0,נתניה,,,True,,N/A,N/A
ליצ'י lychee | lychee,,צלמים,https://engaged.co.il/המלצות/ליצי-lychee.html,,,073-7305550,http://lycvi.com,0.0,0,"סיני 5, באר שבע",,,True,073-7305550,N/A,N/A
נטו וי - אר | netoVR making future memory,,צלמים,https://engaged.co.il/המלצות/שלומי-בסרבי.html,,,,,0.0,0,,,,True,,054-6330630,Official Social Media/Business Website
פרו שוט צילום אירועים | prophet proshot,,צלמים,https://engaged.co.il/המלצות/pro-shot.html,,,052-8282308,,4.9,88,"חיים משה שפירא 24, אשדוד",,,True,052-8282308,052-5365882,Facebook / Instagram
ינון כהן - צילום וידאו | Yinon video צילום וידאו רגיש ויפיפיה,,צלמים,https://engaged.co.il/המלצות/ינון-כהן-צילום-וידאו.html,,,,,0.0,0,מרכז,,,True,,052-5205560,yinonvideo.com
סמייל סטודיו | Smile Studio,,צלמים,https://engaged.co.il/המלצות/סמייל-סטודיו.html,,,,,0.0,0,"בני ברמן 2, נתניה, מגדל עיר ימים, מיקוד 4249330",,,True,,09-7489989,https://www.instagram.com/__thesmilestudio__/
אור יעקב יצירת תוכן מותאם לסושיאל,,צלמים,https://engaged.co.il/המלצות/אור-יעקב.html,,,,,0.0,0,,,,True,,N/A,N/A
אילן פריימן צילום צלם חתונות קצת אחר.,,צלמים,https://engaged.co.il/המלצות/אילן-פריימן-צילום.html,,,,,0.0,0,,,,True,,N/A,N/A
GUY LEVI | GUY LEVI GUY LEVI,,צלמים,https://engaged.co.il/המלצות/guy-levi.html,,,,,0.0,0,Herzliya,,,True,,N/A,N/A
טופ צלמים,,צלמים,https://engaged.co.il/המלצות/טופ-צלמים.html,,,"072-329-0660, 050-689-9908",https://www.eventsphotographers.co.il,0.0,0,"רפידים 33, ראשון לציון",,,True,"072-329-0660, 050-689-9908",050-6899-908,https://www.instagram.com/top_photographers_1/
לה סושיאל | La Social כשהאהבה פוגשת רגעים מיוחד,,צלמים,https://engaged.co.il/המלצות/לה-סושיאל.html,,,,https://www.instagram.com/_la_social/,0.0,0,,,,True,,N/A,https://www.instagram.com/_la_social/
שי מנשה לוי צילום | Shay Menashe Levy Photography צילום מושלם לכל אירוע,,צלמים,https://engaged.co.il/המלצות/שי-מנשה-לוי-צילום.html,,,,,0.0,0,,,,True,,050-7383488,Facebook
אלורה סושיאל | Alora social יצירת תוכן להפקות וכלות,,צלמים,https://engaged.co.il/המלצות/אלורה-סושיאל.html,,,,https://www.instagram.com/alora.social,0.0,0,,,,True,,052-6785661,https://engaged.co.il/%D7%94%D7%9E%D7%9C%D7%A6%D7%95%D7%AA/%D7%90%D7%9C%D7%95%D7%A8%D7%94-%D7%A1%D7%95%D7%A9%D7%99%D7%90%D7%9C.html
גופיק | GOPIC ביחד יוצרים זיכרון,,צלמים,https://engaged.co.il/המלצות/גופיק.html,,,,,0.0,0,זכרון יעקב,,,True,,054-4441584,gopic.co.il
עינב אוחנה | 5612515 עינב אוחנהגכהנעגכה,,צלמים,https://engaged.co.il/המלצות/עינב-אוחנה.html,,,,,0.0,0,,,,True,,N/A,N/A
וידאו עמוס | video amos וידאו עמוס,,צלמים,https://engaged.co.il/המלצות/וידאו-עמוס.html,,,072-3116215,,0.0,0,"טשרניחובסקי 4, קרית שמונה",,,True,072-3116215,050-7832202,https://videoamos.co.il/
הודיה אדיב | ADD SOCIAL צלמת סושיאל לחתונות,,צלמים,https://engaged.co.il/המלצות/הודיה-אדיב.html,,,,https://www.instagram.com/hodayassocial,0.0,0,,,,True,,052-6411548,Instagram/Business Profile
לונריה | LUNARIA עמדות די-ג׳יי,,אטרקציות,https://engaged.co.il/המלצות/לונריה.html,,,,https://www.instagram.com/lunaria._dj,0.0,0,,,,True,,052-5272633,https://www.instagram.com/lunaria._dj/
פיסת זיכרון | Piece Of Memory מזכרת שתשאיר זיכרון מרגש,,אטרקציות,https://engaged.co.il/המלצות/פיסת-זיכרון.html,,,,,0.0,0,,,,True,,054-2051253,https://www.instagram.com/pieceofmemory_/
לייזר מי | Laser Me Events עמדת צילום וחריטה,,אטרקציות,https://engaged.co.il/המלצות/לייזר-מי.html,,,,https://www.facebook.com/Lasermeevents/,0.0,0,Haifa,,,True,,N/A,N/A
צייר חתונות יצירת מזכרת ייחודית,,אטרקציות,https://engaged.co.il/המלצות/צייר-חתונות.html,,,,https://www.instagram.com/paint_love.il/,0.0,0,,,,True,,N/A,N/A
דוו-טייל | Duo-Tale הסיפור שלכם אצלכם בחתונה,,אטרקציות,https://engaged.co.il/המלצות/דוו-טייל.html,,,,https://duo.tale.ai,0.0,0,,,,True,,N/A,N/A
איוונטו | EVENTO,,אטרקציות,https://engaged.co.il/המלצות/איוונטו.html,,,073-757-8197,https://evento.plus,0.0,0,"יגיע כפיים 10, תל אביב",,,True,073-757-8197,03-639-3690,https://www.instagram.com/explore/locations/235735676/evento---wlm-yrwym-ywwntw-tl-byb/
עמדות צילום סלפי | Flash עמדות רטרו סלפי,,אטרקציות,https://engaged.co.il/המלצות/עמדות-צילום-סלפי.html,,,,,0.0,0,"Jerusalem, Israel",,,True,,058-5111963,https://www.instagram.com/flash_photobooth10/
מסיבתי | Mesibati אטרקציות לחתונה,,אטרקציות,https://engaged.co.il/המלצות/מסיבתי-שירותי-אירועים.html,,,,,0.0,0,"אליעזר מזל 4, קומה 1, ראשון לציון מערב",,,True,,052-8280050,mesibati.co.il
קיר משקפיי שמש | Sun Glasses במיתוג אישי,,אטרקציות,https://engaged.co.il/המלצות/קיר-משקפיים-לחתונה.html,,,,,0.0,0,,,,True,,054-6880183,Business Profile
myView360 | myView360 עמדת צילום ב360° לאירועים,,אטרקציות,https://engaged.co.il/המלצות/myview360.html,,,,,0.0,0,,,,True,,050-844-3323,official website
חרטה ברטה | Harta Barta חולצות מודפסות לחתונה,,אטרקציות,https://engaged.co.il/המלצות/חרטה-ברטה.html,,,,,0.0,0,,,,True,,N/A,N/A
אטרקציות לחתונה מושלמת | wedding Attractions אטרקציות לחתונות,,אטרקציות,https://engaged.co.il/המלצות/אטרקציות-זה-אנחנו.html,,,055-99-23456,,0.0,0,אזור המרכז,,,True,055-99-23456,052-5356442,https://iattraction.co.il/wedding-attractions/
טאג-בוקס | Tagbox עמדת צילום לאירועים,,אטרקציות,https://engaged.co.il/המלצות/tagbox-טאגבוקס-עמדות-צילום-לאירועים.html,,,073-374-4314,https://www.tagbox.co.il,0.0,0,"שמואל תמיר 45, תל אביב-יפו",,,True,073-374-4314,054-2051052,https://www.tagbox.co.il/
ממורה | Memora לכל תמונה יש כתובת,,אטרקציות,https://engaged.co.il/המלצות/ממורה.html,,,,https://memora.ai,0.0,0,,,,True,,N/A,N/A
סאן פלוור לווור | San flower lover עמדת שזירת פרחים לאירועים,,אטרקציות,https://engaged.co.il/המלצות/סאן-פלוור-לווור.html,,,,,0.0,0,Ramat Gan,,,True,,N/A,N/A
הההההה,,אטרקציות,https://engaged.co.il/המלצות/הההההה.html,,,,,0.0,0,,,,True,,N/A,N/A
צייר לי כבשה קריקטורות+איורים לאירועים,,אטרקציות,https://engaged.co.il/המלצות/צייר-לי-כבשה.html,,,,,0.0,0,,,,True,,054-4517939,https://www.instagram.com/reel/DQhi3SejTm5/
דונאט דרימס | DONUT DREAMS קיר דונאטס של השמחות,,אטרקציות,https://engaged.co.il/המלצות/קורל-נחמה.html,,,,,0.0,0,,,,True,,054-204-6202,Facebook
פיקצ'ר | Pickture.ai סלפי אחד - וכל אורח מקבל,,אטרקציות,https://engaged.co.il/המלצות/פיקצר.html,,,,https://pickture.ai,0.0,0,Tel Aviv,,,True,,054-2044336,pickture.ai
White Event אטרקציות לחתונה,,אטרקציות,https://engaged.co.il/המלצות/white-event.html,,,,,0.0,0,Ashqelon,,,True,,N/A,N/A
וואם WEM,,אטרקציות,https://engaged.co.il/המלצות/וואם.html,,,,,0.0,0,,,,True,,N/A,Context Data
הרמיטאג האירוע שלכם היצירה שלנו,,אטרקציות,https://engaged.co.il/המלצות/הרמיטאג.html,,,,,0.0,3,"הפלדה 1, אור יהודה",,,True,,N/A,N/A
מאר ג׳רז עוגות בצנצנות | Mar Jarz,,אטרקציות,https://engaged.co.il/המלצות/מאר-ג׳רז-עוגות-בצנצנות.html,,,,,0.0,0,Tel Aviv,,,True,,N/A,N/A
מייסלף | Myself עמדת צילום,,אטרקציות,https://engaged.co.il/המלצות/מייסלף.html,,,055-5623901,,0.0,0,,,,True,055-5623901,052-6788383,easy.co.il
אולם פרחים | Olam Haprahim,,אטרקציות,https://engaged.co.il/המלצות/אולם-פרחים.html,,,,,0.0,0,"אליעזר מזל 4 קומה 1 ראשל""צ מערב",,,True,,054-2041235,https://engaged.co.il/%D7%94%D7%9E%D7%9C%D7%A6%D7%95%D7%AA/%D7%90%D7%95%D7%9C%D7%9D-%D7%A4%D7%A8%D7%97%D7%99%D7%9D.html
