Supplier Name,Phone Number,Category,URL,Main Image,Gallery,Real Phone,Website,Google Reviews Link,Google Image,Google Rating,Reviews Count,Address,is_suspicious
ריין אירועים | Rain גן אירועים חדש בראשון לציון,077-9971114,אולמות וגנים,https://engaged.co.il/המלצות/ריין-ראשון.html,,,03-5224422,https://rain-events.co.il,,,,,"לזרוב 23, ראשון לציון",True
עדיה | ADIA Evants אירועים וכנסים,077-8040229,אולמות וגנים,https://engaged.co.il/המלצות/עדיה.html,,,073-7533448,adia.co.il,,,4.5,1764,"שידלובסקי 3, יבנה",True
58 גן אירועים | Fifty-8 גן אירועים,,אולמות וגנים,https://engaged.co.il/המלצות/58-גן-אירועים.html,,,055-453-9302,https://www.fifty8.co.il,https://www.google.com/maps/search/58+%D7%92%D7%9F+%D7%90%D7%99%D7%A8%D7%95%D7%A2%D7%99%D7%9D+Fifty-8+%D7%92%D7%9F+%D7%90%D7%99%D7%A8%D7%95%D7%A2%D7%99%D7%9D+%D7%94%D7%99%D7%A8%D7%A7%D7%95%D7%A0%D7%99%D7%9D+58+%D7%A4%D7%AA%D7%97+%D7%AA%D7%A7%D7%95%D7%95%D7%94,"https://static.wixstatic.com/media/2a222c_1117135805174521921c226227652c7f~mv2.png/v1/fill/w_200,h_100,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/58%20logo.png",4.5,2169,"HaYarkonim St 58, Petah Tikva, Israel",True
איסט תל אביב | East tlv,077-4447232,אולמות וגנים,https://engaged.co.il/המלצות/איסט-תל-אביב.html,,,055-4539274,http://east-tlv.co.il/,,,,,"מיטב 13, תל אביב",True
אלה אירועים | Ella Events גן אירועים,077-2308922,אולמות וגנים,https://engaged.co.il/המלצות/אלה-אירועים.html,,,055-453-9380,https://ella-events.co.il,"https://www.google.com/maps/place/%D7%90%D7%9C%D7%94+%D7%90%D7%99%D7%A8%D7%95%D7%A2%D7%99%D7%9D%E2%80%AD/@31.910971,34.793898,17z/data=!4m8!3m7!1s0x1502b11111111111:0x1111111111111111!8m2!3d31.910971!4d34.793898!9m1!1b1!16s%2Fg%2F11c6222222?hl=iw&entry=ttu",https://ella-events.co.il/wp-content/uploads/2023/04/ella-logo-new.png,4.2,1494,"האלופים 1, נס ציונה",True
סיטרוס אירועים | Citrus,,אולמות וגנים,https://engaged.co.il/המלצות/סיטרוס-גן-אירועים.html,,,073-374-6863,https://www.citrus-events.co.il/,"https://www.google.com/maps/search/סיטרוס+אירועים+Citrus+ספיר+1,+אבן+יהודה",https://www.citrus-events.co.il/wp-content/uploads/2021/04/412124.jpg,4.6,1200,"הספיר 1, אבן יהודה",True
גנני כנען,,אולמות וגנים,https://engaged.co.il/המלצות/גנני-כנען.html,,,08-9355051,https://www.ganeycnaan.co.il/,https://www.google.com/maps/search/גני+כנען+קיבוץ+נען,,,,קיבוץ נען,True
לאגו | LAGO - אולם אירועים,077-9974970,אולמות וגנים,https://engaged.co.il/המלצות/לאגו.html,,,072-280-0100,http://www.lago-events.co.il/,,https://lago-events.co.il/wp-content/uploads/2023/07/lago-logo-white.png,,,"המאה ועשרים 6, ראשון לציון",True
אווניו | Avenue מרכז אירועים וקונגרסים,073-7588572,אולמות וגנים,https://engaged.co.il/המלצות/אווניו-אירועים.html,,,055-453-9562,https://avenue-events.co.il,"https://www.google.com/maps/search/?api=1&query=%D7%90%D7%95%D7%95%D7%A0%D7%99%D7%95+Avenue+%D7%9E%D7%A8%D7%9B%D7%96+%D7%90%D7%99%D7%A8%D7%95%D7%A2%D7%99%D7%9D+%D7%95%D7%A7%D7%95%D7%A0%D7%92%D7%A8%D7%A1%D7%99%D7%9D+%D7%93%D7%A8%D7%9A+%D7%99%D7%A6%D7%97%D7%A7+%D7%A9%D7%93%D7%94+1,+%D7%A7%D7%A8%D7%99%D7%AA+%D7%A9%D7%93%D7%94+%D7%94%D7%AA%D7%A2%D7%95%D7%A4%D7%94",https://avenue-events.co.il/wp-content/uploads/2021/08/logo.png,8.8,3386,"דרך יצחק שדה 1, קריית שדה התעופה",True
דואאה | Duee גן אירועים על אגם קסום,077-9707183,אולמות וגנים,https://engaged.co.il/המלצות/דואאה.html,,,072-260-6285,https://www.duee-bylago.co.il,,,,,"המאה ועשרים 6, ראשון לציון",True
כינורות | Kinorot גן אירועים,,אולמות וגנים,https://engaged.co.il/המלצות/כינורות-אירועים.html,,,055-4536736,https://www.kinorot.co.il/,"https://www.google.com/maps/search/כינורות+Kinorot+גן+אירועים+חלוצי+התעשייה+36,+חיפה",https://www.kinorot.co.il/wp-content/uploads/2020/08/logo.png,4.1,1855,"חלוצי התעשייה 36, חיפה",True
שמורתה | shmurata גן אירועים,,אולמות וגנים,https://engaged.co.il/המלצות/שמורתה-אירועים.html,,,072-334-0356,https://www.shmurata.co.il,https://www.google.com/maps/place/%D7%A9%D7%9E%D7%95%D7%A8%D7%AA%D7%94+%D7%92%D7%9F+%D7%90%D7%99%D7%A8%D7%95%D7%A2%D7%99%D7%9D%E2%80%AD/data=!4m8!3m7!1s0x151d682411111111:0x1111111111111111!8m2!3d32.800045!4d35.078976!9m1!1b1!16s%2Fg%2F11c21111111,,4.6,"1,000+",קיבוץ אפק,True
אולם מגדל חיפה אירועי בוטיק באווירה חמה,,אולמות וגנים,https://engaged.co.il/המלצות/אולם-מגדל-חיפה.html,,,03-3035060,https://haifatower.co.il,"https://www.google.com/maps/place/%D7%9E%D7%9C%D7%95%D7%9F+%D7%9E%D7%92%D7%93%D7%9C+%D7%97%D7%99%D7%A4%D7%94%E2%80%AD/@32.8078795,35.0009559,17z/data=!4m8!1m2!2m1!1s%D7%9E%D7%9C%D7%95%D7%9F+%D7%9E%D7%92%D7%93%D7%9C+%D7%97%D7%99%D7%A4%D7%94!3m4!1s0x151dbb28c5000001:0x228911579410141!8m2!3d32.8078795!4d35.0009559?hl=iw",https://haifatower.co.il/wp-content/uploads/2023/07/logo-migdal-haifa.png,3.9,1780,"הרצל 63, חיפה, 3321214",True
גאמוס ריזורט | GAMOS RESORT,073-7586813,אולמות וגנים,https://engaged.co.il/המלצות/גאמוס-ריזורט.html,,,077-9972343,https://gamos.co.il,,,,,"די זהב 7, פארק ישראל מעלה אדומים",True
גאמוס אירועים | GAMOS EVENTS,073-7586813,אולמות וגנים,https://engaged.co.il/המלצות/גאמוס-אירועים.html,,,077-9972343,https://www.gamos.co.il,"https://www.google.com/maps/search/די+זהב+7,+פארק+ישראל+מעלה+אדומים",,9.4,180,"די זהב 7, פארק ישראל מעלה אדומים",True
אודאון | Odeon - גן אירועים,077-9977400,אולמות וגנים,https://engaged.co.il/המלצות/אודאון.html,,,072-216-0052,https://odeon.co.il,https://www.google.com/maps/search/?api=1&query=Odeon+Events+Garden+HaMasik+St+6+Emek+Hefer+Industrial+Park+Hefer+Valley+Israel,https://odeon.co.il/wp-content/uploads/2021/04/logo.png,4.5,1265,"HaMasik St 6, Emek Hefer Industrial Park, Hefer Valley, Israel",True
אקו חדרה | ECO גן אירועים,077-9976891,אולמות וגנים,https://engaged.co.il/המלצות/אקו-גן-אירועים.html,,,+972 73-726-3333,d-eco.co.il,https://www.google.com/maps/search/אקו+חדרה+ECO+גן+אירועים+בעלי+מלאכה+31+חדרה,,4.2,1580,"בעלי מלאכה 31, חדרה, ישראל",True
מי מתחם אירועים ברעננה | ME EVENTS מתחם אירועי בוטיק בשרון,077-9975711,אולמות וגנים,https://engaged.co.il/המלצות/מי-אירועים-רעננה.html,,,072-3970112,https://me-events.co.il,"https://www.google.com/maps/place/ME+Events/@32.191599,34.871025,17z/data=!4m8!1m2!2m1!1sME+EVENTS+%D7%9E%D7%AA%D7%97%D7%9D+%D7%90%D7%99%D7%A8%D7%95%D7%A2%D7%99+%D7%91%D7%95%D7%98%D7%99%D7%A7+%D7%91%D7%A9%D7%A8%D7%95%D7%9F!3m4!1s0x151d371400000001:0x123456789abcdef0!8m2!3d32.191599!4d34.871025!9m1!1b1?hl=iw",https://me-events.co.il/wp-content/uploads/2021/07/me-events-logo.png,4.7,93,"התדהר 2, רעננה, 4366504, ישראל",True
קדיתא | Kadita גן אירועים,077-4447129,אולמות וגנים,https://engaged.co.il/המלצות/קדיתא.html,,,055-453-9715,https://kadita-events.co.il/,,,,,המסיק 5 עמק חפר ת.ד 169 מיקוד 3877701,True
גאיה חדרה | Gaya Hadera,055-4547281,אולמות וגנים,https://engaged.co.il/המלצות/גאיה-חדרה.html,,,055-4539480,https://gaya-hadera.co.il,"https://www.google.com/maps/place/%D7%92%D7%90%D7%99%D7%94+%D7%97%D7%93%D7%A8%D7%94%E2%80%AD/@32.433939,34.922129,17z/data=!4m8!3m7!1s0x151d161102231201:0x31165306e232962!8m2!3d32.433939!4d34.922129!9m1!1b1!16s%2Fg%2F11c261_23c?hl=iw&entry=ttu",https://gaya-hadera.co.il/wp-content/uploads/2023/03/logo-gaya.png,4.8,1651,"האומן 12, חדרה",True
מתקן צילום 360 צילום 360 לאירועים,,אטרקציות,https://engaged.co.il/המלצות/מתקן-צילום-360.html,,,050-9030901,https://faceit.co.il/,,,,,,True
5.91 | events 5.91 אירועים על הים,077-8052122,אולמות וגנים,https://engaged.co.il/המלצות/5-91-אירועים.html,,,055-453-9311,https://591.co.il/,"https://www.google.com/maps/place/5.91+-+%D7%90%D7%99%D7%A8%D7%95%D7%A2%D7%99%D7%9D+%D7%A2%D7%9C+%D7%94%D7%99%D7%9D/@32.308738,34.840942,17z/data=!4m8!3m7!1s0x151d3f8366666667:0x6666666666666666!8m2!3d32.308738!4d34.840942!9m1!1b1!16s%2Fg%2F11f3_6_6_6",https://591.co.il/wp-content/uploads/2023/05/5.91-Beach-House-Logo.png,4.5,916,"שדרות עובד בן עמי 2, נתניה, ישראל",True
88 גן אירועים | 88 בעמק חפר,077-8043304,אולמות וגנים,https://engaged.co.il/המלצות/88-גן-אירועים-בעמק.html,,,055-453-9653,https://8eighty.co.il/,https://www.google.com/maps/search/?api=1&query=88+גן+אירועים+עמק+חפר,https://8eighty.co.il/wp-content/uploads/2024/04/88-logo.png,4.4,73,"נחל אלכסנדר 26, עמק חפר",True
הגן בשפיים | Hagan Beshefayim גן אירועים,,אולמות וגנים,https://engaged.co.il/המלצות/הגן-השקוף.html,,,055-4539507,https://www.haganbeshefayim.co.il/,,,0.0,0,קיבוץ שפיים,True
פוטושוט צלמים | PHOTOSHOT PHOTOGRAPHY צילום אירועים,,צלמים,https://engaged.co.il/המלצות/פוטושוט-צילום-אירועים.html,,,052-8282308,,0.0,0,"חיים משה שפירא 24, אשדוד",,,True
חורשת ראשונים מתחם אירועים | Shani marom,,אולמות וגנים,https://engaged.co.il/המלצות/חורשת-ראשונים-מתחם-אירועים.html,,,,,0.0,0,,,,True
יבבבחטט ולטחטחט | ץ ץ,,אולמות וגנים,https://engaged.co.il/המלצות/יבבבחטט-ולטחטחט.html,,,,,0.0,0,,,,True
טל גולן צילום חתונות | Tal Golan Photography רגעים שנשארים לנצח,,צלמים,https://engaged.co.il/המלצות/טל-גולן-צילום-חתונות.html,,,,,0.0,0,,,,True
בריידשוט | BrideShoot יצירת תוכן לחתונות,,צלמים,https://engaged.co.il/המלצות/בריידשוט.html,,,,,0.0,0,,,,True
עידן נהרי | Idan Nahari צילום אירועים,,צלמים,https://engaged.co.il/המלצות/עידן-נהרי-צילום-אירועים.html,,,,,0.0,0,"אליעזר מזל 4, קומה 1, ראשון לציון",,,True
קראון צלמים | CROWN צלם חתונות,,צלמים,https://engaged.co.il/המלצות/קראון-צלמים.html,,,,,0.0,0,"אליעזר מזל 4, קומה 1, ראשל""צ מערב",,,True
Olga Salimov,,צלמים,https://engaged.co.il/המלצות/olga-salimova.html,,,,https://www.instagram.com/olasalimov,0.0,0,Israel,,,True
ערן אלרגנט | Eran Alergant- Photographer צילום באווירה שונה!,,צלמים,https://engaged.co.il/המלצות/ערן-אלרגנט.html,,,,,0.0,0,,,,True
קטיה מומנטס | K.R Moments צילום סושיאל לחתונה,,צלמים,https://engaged.co.il/המלצות/קטיה-מומנטס.html,,,,https://www.instagram.com/k.r.moments,0.0,0,,,,True
טוהר אשכנזי | Tohar Ashkenazi סושיאל ליום הכי מרגש שלכם,,צלמים,https://engaged.co.il/המלצות/טוהר-אשכנזי.html,,,,,0.0,0,,,,True
מדור לדור | Dor Fayna Photography צילום חתונות,,צלמים,https://engaged.co.il/המלצות/מדור-לדור.html,,,,,0.0,0,"שלמה לוי, ראשון לציון",,,True
אלעד מימון צילום,,צלמים,https://engaged.co.il/המלצות/אלעד-מימון-צילום.html,,,,,0.0,0,נתניה,,,True
ליצ'י lychee | lychee,,צלמים,https://engaged.co.il/המלצות/ליצי-lychee.html,,,073-7305550,http://lycvi.com,0.0,0,"סיני 5, באר שבע",,,True
נטו וי - אר | netoVR making future memory,,צלמים,https://engaged.co.il/המלצות/שלומי-בסרבי.html,,,,,0.0,0,,,,True
פרו שוט צילום אירועים | prophet proshot,,צלמים,https://engaged.co.il/המלצות/pro-shot.html,,,052-8282308,,4.9,88,"חיים משה שפירא 24, אשדוד",,,True
ינון כהן - צילום וידאו | Yinon video צילום וידאו רגיש ויפיפיה,,צלמים,https://engaged.co.il/המלצות/ינון-כהן-צילום-וידאו.html,,,,,0.0,0,מרכז,,,True
סמייל סטודיו | Smile Studio,,צלמים,https://engaged.co.il/המלצות/סמייל-סטודיו.html,,,,,0.0,0,"בני ברמן 2, נתניה, מגדל עיר ימים, מיקוד 4249330",,,True
אור יעקב יצירת תוכן מותאם לסושיאל,,צלמים,https://engaged.co.il/המלצות/אור-יעקב.html,,,,,0.0,0,,,,True
אילן פריימן צילום צלם חתונות קצת אחר.,,צלמים,https://engaged.co.il/המלצות/אילן-פריימן-צילום.html,,,,,0.0,0,,,,True
GUY LEVI | GUY LEVI GUY LEVI,,צלמים,https://engaged.co.il/המלצות/guy-levi.html,,,,,0.0,0,Herzliya,,,True
טופ צלמים,,צלמים,https://engaged.co.il/המלצות/טופ-צלמים.html,,,"072-329-0660, 050-689-9908",https://www.eventsphotographers.co.il,0.0,0,"רפידים 33, ראשון לציון",,,True
לה סושיאל | La Social כשהאהבה פוגשת רגעים מיוחד,,צלמים,https://engaged.co.il/המלצות/לה-סושיאל.html,,,,https://www.instagram.com/_la_social/,0.0,0,,,,True
שי מנשה לוי צילום | Shay Menashe Levy Photography צילום מושלם לכל אירוע,,צלמים,https://engaged.co.il/המלצות/שי-מנשה-לוי-צילום.html,,,,,0.0,0,,,,True
אלורה סושיאל | Alora social יצירת תוכן להפקות וכלות,,צלמים,https://engaged.co.il/המלצות/אלורה-סושיאל.html,,,,https://www.instagram.com/alora.social,0.0,0,,,,True
גופיק | GOPIC ביחד יוצרים זיכרון,,צלמים,https://engaged.co.il/המלצות/גופיק.html,,,,,0.0,0,זכרון יעקב,,,True
עינב אוחנה | 5612515 עינב אוחנהגכהנעגכה,,צלמים,https://engaged.co.il/המלצות/עינב-אוחנה.html,,,,,0.0,0,,,,True
וידאו עמוס | video amos וידאו עמוס,,צלמים,https://engaged.co.il/המלצות/וידאו-עמוס.html,,,072-3116215,,0.0,0,"טשרניחובסקי 4, קרית שמונה",,,True
הודיה אדיב | ADD SOCIAL צלמת סושיאל לחתונות,,צלמים,https://engaged.co.il/המלצות/הודיה-אדיב.html,,,,https://www.instagram.com/hodayassocial,0.0,0,,,,True
לונריה | LUNARIA עמדות די-ג׳יי,,אטרקציות,https://engaged.co.il/המלצות/לונריה.html,,,,https://www.instagram.com/lunaria._dj,0.0,0,,,,True
פיסת זיכרון | Piece Of Memory מזכרת שתשאיר זיכרון מרגש,,אטרקציות,https://engaged.co.il/המלצות/פיסת-זיכרון.html,,,,,0.0,0,,,,True
לייזר מי | Laser Me Events עמדת צילום וחריטה,,אטרקציות,https://engaged.co.il/המלצות/לייזר-מי.html,,,,https://www.facebook.com/Lasermeevents/,0.0,0,Haifa,,,True
צייר חתונות יצירת מזכרת ייחודית,,אטרקציות,https://engaged.co.il/המלצות/צייר-חתונות.html,,,,https://www.instagram.com/paint_love.il/,0.0,0,,,,True
דוו-טייל | Duo-Tale הסיפור שלכם אצלכם בחתונה,,אטרקציות,https://engaged.co.il/המלצות/דוו-טייל.html,,,,https://duo.tale.ai,0.0,0,,,,True
איוונטו | EVENTO,,אטרקציות,https://engaged.co.il/המלצות/איוונטו.html,,,073-757-8197,https://evento.plus,0.0,0,"יגיע כפיים 10, תל אביב",,,True
עמדות צילום סלפי | Flash עמדות רטרו סלפי,,אטרקציות,https://engaged.co.il/המלצות/עמדות-צילום-סלפי.html,,,,,0.0,0,"Jerusalem, Israel",,,True
מסיבתי | Mesibati אטרקציות לחתונה,,אטרקציות,https://engaged.co.il/המלצות/מסיבתי-שירותי-אירועים.html,,,,,0.0,0,"אליעזר מזל 4, קומה 1, ראשון לציון מערב",,,True
קיר משקפיי שמש | Sun Glasses במיתוג אישי,,אטרקציות,https://engaged.co.il/המלצות/קיר-משקפיים-לחתונה.html,,,,,0.0,0,,,,True
myView360 | myView360 עמדת צילום ב360° לאירועים,,אטרקציות,https://engaged.co.il/המלצות/myview360.html,,,,,0.0,0,,,,True
חרטה ברטה | Harta Barta חולצות מודפסות לחתונה,,אטרקציות,https://engaged.co.il/המלצות/חרטה-ברטה.html,,,,,0.0,0,,,,True
אטרקציות לחתונה מושלמת | wedding Attractions אטרקציות לחתונות,,אטרקציות,https://engaged.co.il/המלצות/אטרקציות-זה-אנחנו.html,,,055-99-23456,,0.0,0,אזור המרכז,,,True
טאג-בוקס | Tagbox עמדת צילום לאירועים,,אטרקציות,https://engaged.co.il/המלצות/tagbox-טאגבוקס-עמדות-צילום-לאירועים.html,,,073-374-4314,https://www.tagbox.co.il,0.0,0,"שמואל תמיר 45, תל אביב-יפו",,,True
ממורה | Memora לכל תמונה יש כתובת,,אטרקציות,https://engaged.co.il/המלצות/ממורה.html,,,,https://memora.ai,0.0,0,,,,True
סאן פלוור לווור | San flower lover עמדת שזירת פרחים לאירועים,,אטרקציות,https://engaged.co.il/המלצות/סאן-פלוור-לווור.html,,,,,0.0,0,Ramat Gan,,,True
הההההה,,אטרקציות,https://engaged.co.il/המלצות/הההההה.html,,,,,0.0,0,,,,True
צייר לי כבשה קריקטורות+איורים לאירועים,,אטרקציות,https://engaged.co.il/המלצות/צייר-לי-כבשה.html,,,,,0.0,0,,,,True
דונאט דרימס | DONUT DREAMS קיר דונאטס של השמחות,,אטרקציות,https://engaged.co.il/המלצות/קורל-נחמה.html,,,,,0.0,0,,,,True
פיקצ'ר | Pickture.ai סלפי אחד - וכל אורח מקבל,,אטרקציות,https://engaged.co.il/המלצות/פיקצר.html,,,,https://pickture.ai,0.0,0,Tel Aviv,,,True
White Event אטרקציות לחתונה,,אטרקציות,https://engaged.co.il/המלצות/white-event.html,,,,,0.0,0,Ashqelon,,,True
וואם WEM,,אטרקציות,https://engaged.co.il/המלצות/וואם.html,,,,,0.0,0,,,,True
הרמיטאג האירוע שלכם היצירה שלנו,,אטרקציות,https://engaged.co.il/המלצות/הרמיטאג.html,,,,,0.0,3,"הפלדה 1, אור יהודה",,,True
מאר ג׳רז עוגות בצנצנות | Mar Jarz,,אטרקציות,https://engaged.co.il/המלצות/מאר-ג׳רז-עוגות-בצנצנות.html,,,,,0.0,0,Tel Aviv,,,True
מייסלף | Myself עמדת צילום,,אטרקציות,https://engaged.co.il/המלצות/מייסלף.html,,,055-5623901,,0.0,0,,,,True
אולם פרחים | Olam Haprahim,,אטרקציות,https://engaged.co.il/המלצות/אולם-פרחים.html,,,,,0.0,0,"אליעזר מזל 4 קומה 1 ראשל""צ מערב",,,True
מגנטים HITI מגנטים לחתונה,055-4547294,אטרקציות,https://engaged.co.il/המלצות/מגנטים-hiti.html,,,055-4547294,https://www.facebook.com/people/%D7%9E%D7%92%D7%A0%D7%98%D7%99%D7%9D-%D7%94%D7%99%D7%98%D7%99-HITI-Magnet/100063499426966/,0.0,0,נתניה,,,True
יהונתן - ציורי חתונה | Jonathan Art צייר חתונות בלייב,,אטרקציות,https://engaged.co.il/המלצות/יהונתן-ציורי-חתונה.html,,,,,0.0,0,,,,True
יהודה אוr | yehuda or צילום מקצועי לאירועים,,אטרקציות,https://engaged.co.il/המלצות/יהודה-אוr.html,,,,,0.0,0,,,,True
ERA Production | ERA Production,,אטרקציות,https://engaged.co.il/המלצות/era-production.html,,,,,0.0,0,Netanya,,,True
Eventesize - אירועים | Eventesize שירות אלבום תמונות אישי,,אטרקציות,https://engaged.co.il/המלצות/eventesize-אירועים.html,,,,https://www.instagram.com/eventesize,0.0,0,כל הארץ,,,True
קיאק פירות בחתונה קיאקי פירות איכותיים 🍍,,אטרקציות,https://engaged.co.il/המלצות/קיאק-בחתונה.html,,,055-99-23456,,0.0,0,,,,True
Flower Me | Flower Me -שזירת פרחים לחתונה,,אטרקציות,https://engaged.co.il/המלצות/flower-me.html,,,,,0.0,0,,,,True
עיתון בהפתעה מגזין חתונה בעיצוב אישי,,אטרקציות,https://engaged.co.il/המלצות/עיתון-בהפתעה.html,,,,,0.0,0,"הכרמל 1, אור עקיבא",,,True
סטודיו לבנדר | Studio Lavender עיצוב חתונות |שזירת פרחים,,אטרקציות,https://engaged.co.il/המלצות/סטודיו-לבנדר.html,,,,https://www.facebook.com/100090348469702,0.0,0,באר שבע,,,True
רנה | Renne חנות אירועים,,אטרקציות,https://engaged.co.il/המלצות/רנה-חנות-אירועים.html,,,,,0.0,0,ראשון לציון,,,True
פולה פולארויד | We Are Pola Polaroid 3..2..1 התמונה ביד ו-ואוו,,אטרקציות,https://engaged.co.il/המלצות/פולה-פולארויד.html,,,,,0.0,0,"Tel Aviv-Yafo, Israel",,,True
נעם מרזוק | Noam Marzook איור ואנימציה,,אטרקציות,https://engaged.co.il/המלצות/נעם-מרזוק-איור-ואנימציה.html,,,,,0.0,0,Israel,,,True
LASER SHOW TIME,,אטרקציות,https://engaged.co.il/המלצות/laser-show-time.html,,,,,0.0,0,,,,True
סיי-יוו | C-you מגנטים מיוחדים בעריכת AI,,אטרקציות,https://engaged.co.il/המלצות/סיי-יוו.html,,,050-9030901,,0.0,0,,,,True
א.פ,,אטרקציות,https://engaged.co.il/המלצות/אפ-5.html,,,...,...,0.0,0,בני ברק,,,True
פנטסטיקו | Fantastico אטרקציות לאירועים מושלמים,,אטרקציות,https://engaged.co.il/המלצות/פנטסטיקו.html,,,,,0.0,0,,,,True
"אבי אקריש | Aviolin אביולין, כנר לאירועים",,אטרקציות,https://engaged.co.il/המלצות/אבי-אקריש.html,,,,,0.0,0,,,,True
סטרינגס | STRINGS חוטים שמחברים בין כולם..,,אטרקציות,https://engaged.co.il/המלצות/סטרינגס.html,,,,,0.0,0,,,,True
פילבוקס | FeelBox עמדת צילום לאירועים,,אטרקציות,https://engaged.co.il/המלצות/פילבוקס.html,,,,,0.0,0,,,,True
ממו | MEMO הדור הבא של המגנטים!,,אטרקציות,https://engaged.co.il/המלצות/ממו-2.html,,,,https://memo.it,0.0,0,,,,True
למה? כובע! | lAMACOVA כובעי ספוג צבעוניים לרחבה,,אטרקציות,https://engaged.co.il/המלצות/למה-כובע.html,,,,,0.0,0,Petah Tikva,,,True
דומילה | dumila מזכרות עם אמביגרמות,,אטרקציות,https://engaged.co.il/המלצות/דומילה.html,,,,,0.0,0,מרחב עם,,,True
סלפיז | Selfies עמדת סלפי מראה לאירועים,,אטרקציות,https://engaged.co.il/המלצות/סלפיז.html,,,055-5623901,https://selfies.co.il/,0.0,0,אזור השרון,,,True
"770 אולפן הקלטות | 770FM הקלטת ברכת כלה ""און ליין""",,אטרקציות,https://engaged.co.il/המלצות/770-אולפן-הקלטות.html,,,,,0.0,0,,,,True
מגנט לכל אירוע מגנטים לחתונה,,אטרקציות,https://engaged.co.il/המלצות/מגנט-לכל-אירוע.html,,,,,0.0,0,,,,True
"סטודיו אר. קי. אי | Studio R.K.A מגנטים, אינסטבלוק ועוד",,אטרקציות,https://engaged.co.il/המלצות/karin-rahmani.html,,,,,0.0,0,"טיילת הספורט 288, דימונה",,,True
