Supplier Name,Phone Number,Category,URL,Main Image,Gallery,Real Phone,Website,Google Reviews Link,Google Image,Google Rating,Reviews Count,Address
גן ורדים מחיר מנה,03-9664747,אולמות וגנים,https://engaged.co.il/המלצות/גן-ורדים.html,/media/suppliers/03-9664747/img_1.jpg,,03-9664747,https://ganvradim.co.il/,,,nan,nan,"הרצל 150, ראשון לציון"
קויה | Coya Events מתחם אירועים במרכז,03-3035060,אולמות וגנים,https://engaged.co.il/המלצות/קויה-אירועים.html,/media/suppliers/03-303-5060/img_1.jpg,,03-3035060,https://coya.co.il/,,,nan,71,"הרוקמים 27, חולון"
הרמוניה בגן | Harmonia Bagan גן אירועים,08-8682282,אולמות וגנים,https://engaged.co.il/המלצות/הרמוניה-בגן.html,/media/suppliers/08-8682282/img_1.jpg,,08-8682282,https://harmoniabagan.co.il,,,4.3,2950,"האדום 28, פארק תעשיות כנות, גדרה, ישראל"
יער עין חמד | Ein Hemed אירועים בלב הטבע,077-2319032,אולמות וגנים,https://engaged.co.il/המלצות/עין-חמד.html,/media/suppliers/077-2319032/img_1.jpg,,077-2319032,https://ein-hemed.co.il,,,nan,nan,"גן לאומי עין חמד, ירושלים, ישראל"
צל החורש | Tzhel Hahoresh גן אירועים,054-5503301,אולמות וגנים,https://engaged.co.il/המלצות/צל-החורש.html,/media/suppliers/054-5503301/img_1.jpg,,054-5503301,https://www.tzhelhahoresh.co.il,,,4.4,1288,בית ברל
דסטינו | Destino גן אירועים במושב שורש,02-5333135,אולמות וגנים,https://engaged.co.il/המלצות/דסטינו.html,/media/suppliers/02-533-3135/img_1.jpg,,02-5333135,https://destino.co.il,,,nan,nan,"מושב שורש, ישראל"
סינקו אירועים | Synco Events מתחם לחתונות בוטיק,052-9124520,אולמות וגנים,https://engaged.co.il/המלצות/סינקו-אירועים.html,/media/suppliers/052-9124520/img_1.jpg,,052-9124520,https://synco.co.il/,,,nan,nan,"רח' ענטין 10, רחובות"
חצר המלכה מתחם אירועים,08-3819071,אולמות וגנים,https://engaged.co.il/המלצות/חצר-המלכה.html,/media/suppliers/08-3819071/img_1.jpg,,08-3819071,https://www.h-m.co.il/,,,4.4,3100,"אדום 2, צומת כנות, כנות, 8381500, Israel"
say אירועים | SAY Events מתחם אירועי בוטיק,052-5111311,אולמות וגנים,https://engaged.co.il/המלצות/say-אירועים.html,/media/suppliers/052-511-1311/img_1.jpg,,052-5111311,https://say-events.co.il,,,4.5,684,"משה שרת 19, ראשון לציון"
הבוסתן פינה בטבע | Boaz Arnon גן ארועים,054-4923396,אולמות וגנים,https://engaged.co.il/המלצות/הבוסתן-פינה-בטבע.html,/media/suppliers/054-4923396/img_1.jpg,,054-4923396,https://habustan.co.il,,,nan,nan,נווה צוף
אמארה | Amare גן אירועים,050-3707079,אולמות וגנים,https://engaged.co.il/המלצות/אמארה-אירועים.html,/media/suppliers/050-3707079/img_1.jpg,/media/suppliers/050-3707079/img_2.jpg,050-3707079,http://www.amare.co.il,,,nan,nan,"רחוב האלופים 1, נס ציונה"
הרמוזו | Hermozo גן אירועים,052-9095176,אולמות וגנים,https://engaged.co.il/המלצות/הרמוזו-החדש-אירועים.html,/media/suppliers/052-9095176/img_1.jpg,/media/suppliers/052-9095176/img_2.jpg|/media/suppliers/052-9095176/img_3.jpg,052-9095176,https://hermozo.co.il,,,nan,nan,"HaShdera HaMerkazit 16, Modi'in Maccabim-Re'ut, 71700, Israel"
קסאנאדו | Xanadu אירועים,03-9345500,אולמות וגנים,https://engaged.co.il/המלצות/קסאנאדו.html,/media/suppliers/_972_3-934-5500/img_1.jpg,,03-9345500,xanadu.co.il,,,4.0,1589,"בן ציון גליס 50, פתח תקווה, ישראל"
דריה | DARYA אירועי בוטיק,052-8166477,אולמות וגנים,https://engaged.co.il/המלצות/דריה.html,/media/suppliers/052-8166477/img_1.jpg,/media/suppliers/052-8166477/img_2.jpg,052-8166477,https://daryaevents.co.il,,,nan,208,"העמל 7, בת ים"
אטורה | Atura גן אירועים,077-2308703,אולמות וגנים,https://engaged.co.il/המלצות/אטורה.html,/media/suppliers/077-2308703/img_1.jpg,,077-2308703,https://atura.co.il,,,nan,618,"מיני ישראל, דואר נע שמשון, לאטרון 9976200"
לארה Lara Events,077-6706696,אולמות וגנים,https://engaged.co.il/המלצות/לארה.html,/media/suppliers/077-6706696/img_1.jpg,,077-6706696,https://lara-events.co.il/,,,nan,nan,"ירוק, כנות, Israel"
העמק | haemek event בית רגעים וזכרונות,053-3302390,אולמות וגנים,https://engaged.co.il/המלצות/העמק-אירועים.html,/media/suppliers/053-3302390/img_1.jpg,,053-3302390,https://www.haemek-events.co.il/,,,nan,nan,"צבי הנחל 1, פארק תעשיות, עמק חפר, נתניה"
ירוק על המים | Yarok Events גן אירועים,08-9418851,אולמות וגנים,https://engaged.co.il/המלצות/ירוק-על-המים.html,/media/suppliers/08-9418851/img_1.jpg,/media/suppliers/08-9418851/img_2.jpg,08-9418851,https://www.yarok.co.il,,,nan,nan,"קיבוץ חולדה, ד.נ עמק שורק 76842"
אמורה | Amore גן אירועים,03-3752507,אולמות וגנים,https://engaged.co.il/המלצות/אמורה-אירועים.html,/media/suppliers/03-375-2507/img_1.jpg,,03-3752507,amore-events.co.il,,,4.4,621,"בן ציון גליס 28, פתח תקווה"
אפקה,03-7442333,אולמות וגנים,https://engaged.co.il/המלצות/אפקה-אירועים.html,/media/suppliers/03-7442333/img_1.jpg,,03-7442333,https://afeka-events.co.il/,,,nan,nan,"בני אפרים 228, תל אביב יפו"
טראסק | Trask אירועים על הים בתל אביב,077-2303188,אולמות וגנים,https://engaged.co.il/המלצות/טראסק.html,/media/suppliers/077-2303188/img_1.jpg,/media/suppliers/077-2303188/img_2.jpg,077-2303188,https://www.trask.co.il/,,,4.3,1038,"יוסף יקותיאלי 6, נמל תל אביב"
אגדתא | Agadata,08-8586665,אולמות וגנים,https://engaged.co.il/המלצות/אגדתא.html,/media/suppliers/08-858-6665/img_1.jpg,/media/suppliers/08-858-6665/img_2.jpg,08-8586665,https://agadata.com,,,nan,2712,"מועצה אזורית יואב, צומת ראם, ד.נ 78000"
גן הפקאן | Gan Hapekan מתחם אירוח רמת הכובש,09-7474447,אולמות וגנים,https://engaged.co.il/המלצות/גן-הפקאן.html,/media/suppliers/_972_9-747-4447/img_1.jpg,,09-7474447,https://ganhapekan.co.il/,,,4.3,1401,"רמת הכובש, 4493000, ישראל"
אמיליה גן אירועים,077-9978167,אולמות וגנים,https://engaged.co.il/המלצות/אמיליה.html,/media/suppliers/077-9978167/img_1.jpg,/media/suppliers/077-9978167/img_2.jpg,077-9978167,https://emilia-events.co.il,,,nan,637,"יעקב נחמיאס 1, ראשון לציון"
תרין | Tarin מתחם אירועים וכנסים,055-4539324,אולמות וגנים,https://engaged.co.il/המלצות/תרין.html,/media/suppliers/0554539324/img_1.jpg,/media/suppliers/0554539324/img_2.jpg,055-4539324,https://www.tarin.co.il/,,,4.4,1675,"רח׳ אליעזר מזל 6, ראשון לציון"
גבריאל | Gavriel מתחם אירועים,077-2306092,אולמות וגנים,https://engaged.co.il/המלצות/גבריאל-אירועים.html,/media/suppliers/077-2306092/img_1.jpg,/media/suppliers/077-2306092/img_2.jpg,077-2306092,https://www.gavri-el.co.il,,,4.6,1000+,"הספורט 4, צומת בית עובד, נס ציונה"
אריא | Arya גן אירועים בשוהם,03-5181818,אולמות וגנים,https://engaged.co.il/המלצות/אריא-שוהם.html,/media/suppliers/03-518-1818/img_1.jpg,,03-5181818,,,,nan,nan,"ברוש 2, שוהם"
גני דל וינו | Del Vino פתח תקווה,03-9347035,אולמות וגנים,https://engaged.co.il/המלצות/גני-דל-וינו.html,/media/suppliers/03-934-7035/img_1.jpg,,03-9347035,,,,nan,nan,"הירקונים 67, פתח תקווה"
ממילא אשדוד,08-6990066,אולמות וגנים,https://engaged.co.il/המלצות/ממילא.html,C:\Users\123\Desktop\checking-db\Fiesta\fiesta-nextjs\public\uploads\suppliers\ממילא_אשדוד_1785348959_1.jpg,,08-6990066,https://mamila.co.il/,,,5.0,7,"האורגים 3, אשדוד, ישראל"
ריין אירועים | Rain גן אירועים חדש בראשון לציון,077-8054122,אולמות וגנים,https://engaged.co.il/המלצות/ריין-ראשון.html,/media/suppliers/077-8054122/img_1.jpg,/media/suppliers/077-8054122/img_2.jpg,077-8054122,https://rain-events.co.il,,,nan,nan,"לזרוב 23, ראשון לציון"
טזורו | Tesoro גן אירועים,055-4339224,אולמות וגנים,https://engaged.co.il/המלצות/טזורו-אירועים.html,/media/suppliers/055-4339224/img_1.jpg,/media/suppliers/055-4339224/img_2.jpg,055-4339224,https://www.tesoro.co.il/,,,nan,nan,"משה סנה 199, רמת השרון"
הגבעה | Hagiva גן אירועים,03-3094071,אולמות וגנים,https://engaged.co.il/המלצות/הגבעה-ברנר-אירועים.html,/media/suppliers/03-3094071/img_1.jpg,/media/suppliers/03-3094071/img_2.jpg,03-3094071,https://www.hagiva-event.co.il/,,,nan,nan,"קיבוץ גבעת ברנר, Israel"
עדיה | ADIA Evants אירועים וכנסים,08-9478444,אולמות וגנים,https://engaged.co.il/המלצות/עדיה.html,/media/suppliers/08-9478444/img_1.jpg,,08-9478444,adia.co.il,,,4.5,1764,"שידלובסקי 3, יבנה"
ואסקו | Vasco בית לאירועים,03-6854444,אולמות וגנים,https://engaged.co.il/המלצות/ואסקו.html,/media/suppliers/03-6854444/img_1.jpg,,03-6854444,https://www.vascoevents.co.il,,,4.5,610,"המלאכה 47, חולון"
אלוהה אירועים | Aloha,050-4242420,אולמות וגנים,https://engaged.co.il/המלצות/אלוהה.html,/media/suppliers/050-4242420/img_1.jpg,/media/suppliers/050-4242420/img_2.jpg,050-4242420,https://aloha-events.co.il,,,nan,nan,"פנחס בלקני 6, נתניה"
אמדו | Amado הרצליה,077-2307497,אולמות וגנים,https://engaged.co.il/המלצות/אמדו-הרצליה.html,/media/suppliers/077-2307497/img_1.jpg,/media/suppliers/077-2307497/img_2.jpg,077-2307497,https://amado.co.il,,,4.4,1038,"ז'בוטינסקי 5, קאנטרי קלאב הרצליה"
לילות קסומים | Lelot Ksumim גן אירועים בחפץ חיים,08-8593879,אולמות וגנים,https://engaged.co.il/המלצות/לילות-קסומים.html,/media/suppliers/08-8593879/img_1.jpg,,08-8593879,https://lelot-ksumim.co.il/,,,nan,nan,קיבוץ חפץ חיים בסמוך לצומת כנות
נסיה | Nesya מתחם חלומות ואירועים,08-8535353,אולמות וגנים,https://engaged.co.il/המלצות/נסיה.html,/media/suppliers/08-8535353/img_1.jpg,/media/suppliers/08-8535353/img_2.jpg,08-8535353,https://nesyaevent.co.il/,,,4.3,3368,"צומת ראם, על מפגש כביש 40 וכביש 3 (סמוך ליציאה מכביש 6)"
58 גן אירועים | Fifty-8 גן אירועים,050-2585858,אולמות וגנים,https://engaged.co.il/המלצות/58-גן-אירועים.html,/media/suppliers/050-2585858/img_1.jpg,/media/suppliers/050-2585858/img_2.jpg,050-2585858,https://www.fifty8.co.il,,,4.5,2169,"HaYarkonim St 58, Petah Tikva, Israel"
איסט תל אביב | East tlv,055-4539274,אולמות וגנים,https://engaged.co.il/המלצות/איסט-תל-אביב.html,/media/suppliers/055-4539274/img_1.jpg,/media/suppliers/055-4539274/img_2.jpg,055-4539274,http://east-tlv.co.il/,,,nan,nan,"מיטב 13, תל אביב"
יד חרוצים,03-7378338,אולמות וגנים,https://engaged.co.il/המלצות/יד-חרוצים-אירועים.html,/media/suppliers/03-7378338/img_1.jpg,,03-7378338,,,,nan,356,"יד חרוצים 11, תל אביב יפו"
אלה אירועים | Ella Events גן אירועים,055-4539380,אולמות וגנים,https://engaged.co.il/המלצות/אלה-אירועים.html,/media/suppliers/055-453-9380/img_1.jpg,/media/suppliers/055-453-9380/img_2.jpg,055-4539380,https://ella-events.co.il,,,4.2,1494,"האלופים 1, נס ציונה"
מרקטו אירועים | Mercato CITY.LOVE.EVENTS,050-8322807,אולמות וגנים,https://engaged.co.il/המלצות/מרקטו-אירועים.html,/media/suppliers/_972_50-832-2807/img_1.jpg,/media/suppliers/_972_50-832-2807/img_2.jpg,050-8322807,https://mercato-events.co.il,,,nan,nan,"הכשרת הישוב 3, ראשון לציון"
סיטרוס אירועים | Citrus,09-8991331,אולמות וגנים,https://engaged.co.il/המלצות/סיטרוס-גן-אירועים.html,/media/suppliers/09-8991331/img_1.jpg,/media/suppliers/09-8991331/img_2.jpg,09-8991331,https://www.citrus-events.co.il/,,,4.6,1200,"הספיר 1, אבן יהודה"
טאי אירועים | tai אולם בוטיק בראשון לציון,077-2310602,אולמות וגנים,https://engaged.co.il/המלצות/טאי-אירועים.html,/media/suppliers/077-2310602/img_1.jpg,/media/suppliers/077-2310602/img_2.jpg,077-2310602,https://tai-events.com,,,4.9,314,"זאב שלנג 4, ראשון לציון"
קלואה | kalua אירועים על הים,053-5983934,אולמות וגנים,https://engaged.co.il/המלצות/קלואה.html,/media/suppliers/053-5983934/img_1.jpg,,053-5983934,,,,nan,nan,"הטיילת 10, אשדוד"
גנני כנען,,אולמות וגנים,https://engaged.co.il/המלצות/גנני-כנען.html,,,,https://www.ganeycnaan.co.il/,https://www.google.com/maps/search/גני+כנען+קיבוץ+נען,,,,קיבוץ נען
ווקו | Voco גן ארועים פתוח,,אולמות וגנים,https://engaged.co.il/המלצות/ווקו.html,,,050-4245283,vocoevents.co.il,,,,,"אלטלנה 8, ראשון לציון"
הבית הירוק | Green house אולם אירועים בתל אביב,03-9666434,אולמות וגנים,https://engaged.co.il/המלצות/הבית-הירוק.html,/media/suppliers/03-9666434/img_1.jpg,,03-9666434,,,,nan,nan,"Dr George Wise St 24, Tel Aviv-Yafo, Israel"
טירה על הים | Tira By The Sea מתמחים בחתונת בוטיק בים,08-9301868,אולמות וגנים,https://engaged.co.il/המלצות/טירה-על-הים.html,/media/suppliers/08-9301868/img_1.jpg,/media/suppliers/08-9301868/img_2.jpg,08-9301868,https://www.tira-events.co.il,,,4.5,558,"1 Mafkura, Ashdod"
שאטו | Shato אירועים,08-9418000,אולמות וגנים,https://engaged.co.il/המלצות/שאטו-אירועים-בילו.html,/media/suppliers/08-9418000/img_1.jpg,,08-9418000,https://www.shato.co.il,,,4.2,1910,"בוסי סנט ג'ורג' 13, קריית עקרון"
בדולינה | Badolina אירועים,09-8890055,אולמות וגנים,https://engaged.co.il/המלצות/בדולינה.html,/media/suppliers/09-8890055/img_1.jpg,/media/suppliers/09-8890055/img_2.jpg,09-8890055,https://badolina.co.il,,,4.3,848,"כליל החורש 1, רעננה"
לאגו | LAGO - אולם אירועים,077-9974970,אולמות וגנים,https://engaged.co.il/המלצות/לאגו.html,,,,http://www.lago-events.co.il/,,https://lago-events.co.il/wp-content/uploads/2023/07/lago-logo-white.png,,,"המאה ועשרים 6, ראשון לציון"
יער - מושב אורה | Yaar events,02-5011700,אולמות וגנים,https://engaged.co.il/המלצות/יער.html,/media/suppliers/02-501-1700/img_1.jpg,/media/suppliers/02-501-1700/img_2.jpg,02-5011700,https://yaar-events.co.il,,,nan,nan,"Yasmin St 1, Ora, Israel"
אדאו בכנות | Adeo דף המלצות ומידע,052-9095491,אולמות וגנים,https://engaged.co.il/המלצות/אדאו.html,/media/suppliers/052-9095491/img_1.jpg,/media/suppliers/052-9095491/img_2.jpg,052-9095491,https://www.adeo.co.il,,,nan,nan,"האדום 3, צומת כנות"
יניב מאורסים מאורסות | yaniv baruh חתונות הכל כלול,050-4447814,אולמות וגנים,https://engaged.co.il/המלצות/יניב-ברוך-מפיק.html,/media/suppliers/050-4447814/img_1.jpg,,050-4447814,http://yanivbaruch.co.il,,,nan,nan,"יוסף לישנסקי 4, ראשון לציון"
אדמה אירועים | ADAMA רגעים של אושר,08-8565060,אולמות וגנים,https://engaged.co.il/המלצות/אדמה.html,/media/suppliers/08-8565060/img_1.jpg,,08-8565060,https://adama-events.co.il,,,nan,nan,"האומן 9, אשדוד"
אהובת הספן | Ahuvat Hasapan אירועים,054-9491175,אולמות וגנים,https://engaged.co.il/המלצות/אהובת-הספן.html,/media/suppliers/054-9491175/img_1.jpg,,054-9491175,https://ahuvat-hasapan.co.il/,,,nan,910,"יונה הנביא 2, אשדוד"
לואר | Luar Events אולם אירועים,08-6766111,אולמות וגנים,https://engaged.co.il/המלצות/לואר.html,/media/suppliers/08-6766111/img_1.jpg,,08-6766111,luarevents.com,,,nan,1001,"השדרה המרכזית 15, מודיעין"
תיאודור | theodor חתונות מיוחדות בהרצליה,09-8660999,אולמות וגנים,https://engaged.co.il/המלצות/fabiano-group.html,/media/suppliers/09-8660999/img_1.jpg,/media/suppliers/09-8660999/img_2.jpg,09-8660999,https://theodor.co.il,,,4.6,108,"ז'בוטינסקי 15, הרצליה"
"טאו אירועים | Tao Events דף מידע, המלצות וכתבות.",077-9979290,אולמות וגנים,https://engaged.co.il/המלצות/טאו-כנות.html,/media/suppliers/077-9979290/img_1.jpg,,077-9979290,https://www.tao-events.co.il/,,,nan,nan,ירוק 64 כנות
אווניו | Avenue מרכז אירועים וקונגרסים,03-9715000,אולמות וגנים,https://engaged.co.il/המלצות/אווניו-אירועים.html,/media/suppliers/03-9715000/img_1.jpg,,03-9715000,https://avenue-events.co.il,,,8.8,3386,"דרך יצחק שדה 1, קריית שדה התעופה"
חצר נצר | Hatzar Nezer גן אירועים,08-9213939,אולמות וגנים,https://engaged.co.il/המלצות/חצר-נצר.html,/media/suppliers/08-9213939/img_1.jpg,,08-9213939,https://www.hnetzer.co.il/,,,4.6,2772,קיבוץ נצר סירני
קדם אירועים | Kedem,03-6207030,אולמות וגנים,https://engaged.co.il/המלצות/קדם.html,/media/suppliers/03-620-7030/img_1.jpg,/media/suppliers/03-620-7030/img_2.jpg,03-6207030,https://www.kedem.io,,,nan,nan,קיבוץ בארות יצחק
ויה | Via Events גן אירועים,08-6343550,אולמות וגנים,https://engaged.co.il/המלצות/ויה-אירועים.html,/media/suppliers/08-6343550/img_1.jpg,/media/suppliers/08-6343550/img_2.jpg,08-6343550,http://www.via-events.co.il/,,,4.3,1188,"הנבחרת 6, נס ציונה"
גאיה נס ציונה | Gaya גן אירועים,077-9968555,אולמות וגנים,https://engaged.co.il/המלצות/גאיה-גן-אירועים.html,/media/suppliers/077-9968555/img_1.jpg,/media/suppliers/077-9968555/img_2.jpg,077-9968555,https://gaya-garden.co.il,,,4.6,"1,861","האלופים 7, נס ציונה"
קיבוץ אירועים מול הים | kibbutz אירועים,054-9652099,אולמות וגנים,https://engaged.co.il/המלצות/קיבוץ-אירועים-מול-הים.html,/media/suppliers/054-9652099/img_1.jpg,,054-9652099,kibbutz.events,,,nan,nan,"הטיילת 19, ראשון לציון"
קליי אירועים | clay event אולם אורבני יוקרתי,079-5768895,אולמות וגנים,https://engaged.co.il/המלצות/קליי-אירועים.html,/media/suppliers/079-5768895/img_1.jpg,/media/suppliers/079-5768895/img_2.jpg,079-5768895,https://clay.co.il/,,,nan,nan,"אלכסנדר ינאי 13, פתח תקווה"
גרייס | Grace ראשון לציון,050-5320005,אולמות וגנים,https://engaged.co.il/המלצות/גרייס-ראשון-לציון.html,/media/suppliers/050-5320005/img_1.jpg,,050-5320005,grace-events.co.il,,,nan,nan,"אצ""ל 9, ראשון לציון"
דואאה | Duee גן אירועים על אגם קסום,077-9707183,אולמות וגנים,https://engaged.co.il/המלצות/דואאה.html,,,,https://www.duee-bylago.co.il,,,,,"המאה ועשרים 6, ראשון לציון"
פראיסו | Paraiso events פראיסו אירועים,050-3333593,אולמות וגנים,https://engaged.co.il/המלצות/פראיסו.html,/media/suppliers/050-333-3593/img_1.jpg,,050-3333593,,,,nan,nan,"רוז'נסקי 12, ראשון לציון"
טופ דוראן,08-9466727,אולמות וגנים,https://engaged.co.il/המלצות/טופ-דוראן-גן-אירועים.html,/media/suppliers/08-9466727/img_1.jpg,,08-9466727,,,,nan,nan,"דרך גד פיינשטיין 101, רחובות"
ויגו | VIGO Events מתחם אירועים,077-8040063,אולמות וגנים,https://engaged.co.il/המלצות/ויגו-מתחם-אירועים-וכנסים.html,/media/suppliers/077-804-0063/img_1.jpg,,077-8040063,vigo-events.co.il,,,4.1,866,"בוסי סנט ג'ורג 9, צומת ביל""ו, קריית עקרון"
ואמוס | Vamoss גן אירועים,050-8004089,אולמות וגנים,https://engaged.co.il/המלצות/ואמוס-אירועים.html,/media/suppliers/050-8004089/img_1.jpg,/media/suppliers/050-8004089/img_2.jpg,050-8004089,https://vamoss.co.il,,,nan,nan,"בן ציון גליס פינת הרכבת 55, פתח תקווה"
ג'ויה מיה | Gioia Mia גן אירועים,03-9021466,אולמות וגנים,https://engaged.co.il/המלצות/ג-ויה-מיה.html,/media/suppliers/03-9021466/img_1.jpg,/media/suppliers/03-9021466/img_2.jpg,03-9021466,https://www.gioiamia.co.il/,,,4.5,1474,קיבוץ נחשונים
דרזנר 5 | Drezner 5 גן אירועים,079-5768902,אולמות וגנים,https://engaged.co.il/המלצות/דרזנר-5.html,/media/suppliers/079-5768902/img_1.jpg,/media/suppliers/079-5768902/img_2.jpg,079-5768902,https://drezner5.co.il,,,8.8,505,"יחיאל דרזנר 5, פתח תקווה"
ונישן | Venetian גן אירועים,077-8052143,אולמות וגנים,https://engaged.co.il/המלצות/ונישן.html,/media/suppliers/0778052143/img_1.jpg,,077-8052143,https://venetian-israel.com,,,nan,nan,"נחשון 7, פתח תקווה"
באסיקו | Basico אירועים,03-3030888,אולמות וגנים,https://engaged.co.il/המלצות/באסיקו.html,/media/suppliers/03-303-0888/img_1.jpg,/media/suppliers/03-303-0888/img_2.jpg,03-3030888,https://basico-events.co.il/,,,4.6,450,"הנבחרת 6, נס ציונה, Israel"
נוביה אירועים | Novia,04-8408080,אולמות וגנים,https://engaged.co.il/המלצות/נוביה-אירועים.html,/media/suppliers/04-8408080/img_1.jpg,,04-8408080,https://novia.org.il,,,4.3,1874,"חלוצי התעשייה 67, חיפה"
סקיי גארדן | SKY GARDEN פארק הייטק יוקנעם,04-8304444,אולמות וגנים,https://engaged.co.il/המלצות/סקיי-גארדן.html,/media/suppliers/04-8304444/img_1.jpg,,04-8304444,https://skygarden.co.il/,,,nan,nan,"HaYozma St 6, Yokne'am Illit, 2069815, Israel"
כינורות | Kinorot גן אירועים,052-4090444,אולמות וגנים,https://engaged.co.il/המלצות/כינורות-אירועים.html,/media/suppliers/0524090444/img_1.jpg,,052-4090444,https://www.kinorot.co.il/,,,4.1,1855,"חלוצי התעשייה 36, חיפה"
שמורתה | shmurata גן אירועים,04-8784848,אולמות וגנים,https://engaged.co.il/המלצות/שמורתה-אירועים.html,/media/suppliers/04-8784848/img_1.jpg,/media/suppliers/04-8784848/img_2.jpg,04-8784848,https://www.shmurata.co.il,,,4.6,"1,000+",קיבוץ אפק
הינומה | Hinooma גן אירועים,077-9966070,אולמות וגנים,https://engaged.co.il/המלצות/הינומה-אירועים.html,/media/suppliers/077-996-6070/img_1.jpg,,077-9966070,hinooma.co.il,,,4.6,34,"דרך בר יהודה 96, נשר"
אולם מגדל חיפה אירועי בוטיק באווירה חמה,,אולמות וגנים,https://engaged.co.il/המלצות/אולם-מגדל-חיפה.html,,,,https://haifatower.co.il,"https://www.google.com/maps/place/%D7%9E%D7%9C%D7%95%D7%9F+%D7%9E%D7%92%D7%93%D7%9C+%D7%97%D7%99%D7%A4%D7%94%E2%80%AD/@32.8078795,35.0009559,17z/data=!4m8!1m2!2m1!1s%D7%9E%D7%9C%D7%95%D7%9F+%D7%9E%D7%92%D7%93%D7%9C+%D7%97%D7%99%D7%A4%D7%94!3m4!1s0x151dbb28c5000001:0x228911579410141!8m2!3d32.8078795!4d35.0009559?hl=iw",https://haifatower.co.il/wp-content/uploads/2023/07/logo-migdal-haifa.png,3.9,1780,"הרצל 63, חיפה, 3321214"
אולמי לבן | Lavan Eruim גן אירועים,052-9170790,אולמות וגנים,https://engaged.co.il/המלצות/לבן-אירועים.html,/media/suppliers/052-9170790/img_1.jpg,,052-9170790,https://lavan-events.co.il/,,,nan,nan,"התעשייה 26, קרית אתא"
אדם וחווה | Adam Ve Hava Events גן אירועים,079-5740365,אולמות וגנים,https://engaged.co.il/המלצות/אדם-וחווה-אירועים.html,/media/suppliers/079-5740365/img_1.jpg,,079-5740365,,,,nan,1693,"קדושי יאסי 2, חיפה"
סילבר אירועים | SILVER EVENTS מתחם אירועים,08-6722256,אולמות וגנים,https://engaged.co.il/המלצות/סילבר-אירועים.html,/media/suppliers/08-6722256/img_1.jpg,,08-6722256,,,,nan,nan,"צומת סילבר, אשקלון"
